epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,train/foundation_p3_loss,train/foundation_p4_loss,train/foundation_p5_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
52,9691.29,1.54263,2.10452,0.02047,0.99923,13.0847,0.55763,0.45281,0.48864,0.30964,1.4604,1.73174,0.02408,0,0,13.0847,0,13.0847,0,0.0682203,0.18512,3.00161,3.00161,0,1,13.8738,13.818,11.5622,0.00873775,0.00873775,0.00873775,0.00436888,0.0174755
53,9874.96,1.52965,2.09817,0.02036,0.99919,13.0524,0.56571,0.44645,0.48944,0.31069,1.45575,1.72808,0.02402,0,0,13.0524,0,13.0524,0,0.068044,0.185398,3.00161,3.00161,0,1,13.8623,13.7704,11.5246,0.008713,0.008713,0.008713,0.0043565,0.017426
54,10059.8,1.53592,2.07997,0.02038,0.99904,13.026,0.56729,0.45355,0.4925,0.31361,1.45152,1.71772,0.02391,0,0,13.026,0,13.026,0,0.0679115,0.185711,3.00161,3.00161,0,1,13.8191,13.7612,11.4979,0.00868825,0.00868825,0.00868825,0.00434412,0.0173765
55,10243,1.52816,2.08677,0.02037,0.99905,12.9902,0.57196,0.45941,0.49632,0.31636,1.44681,1.71118,0.0238,0,0,12.9902,0,12.9902,0,0.0677216,0.185329,3.00161,3.00161,0,1,13.7757,13.716,11.4791,0.0086635,0.0086635,0.0086635,0.00433175,0.017327
56,10425.9,1.53001,2.06728,0.02043,0.99928,12.9923,0.57214,0.46526,0.50049,0.31903,1.44338,1.70401,0.02374,0,0,12.9923,0,12.9923,0,0.0677351,0.186338,3.00161,3.00161,0,1,13.7653,13.7221,11.4896,0.00863875,0.00863875,0.00863875,0.00431938,0.0172775
57,10609.1,1.51867,2.06543,0.02012,0.99947,13.0014,0.56922,0.46987,0.5032,0.3209,1.43909,1.70001,0.02365,0,0,13.0014,0,13.0014,0,0.0677785,0.187001,3.00161,3.00161,0,1,13.8003,13.7351,11.4689,0.008614,0.008614,0.008614,0.004307,0.017228
58,10791.4,1.51877,2.05142,0.02024,0.99937,12.9656,0.56959,0.47198,0.50434,0.3219,1.4387,1.69342,0.02362,0,0,12.9656,0,12.9656,0,0.0675955,0.187287,3.00161,3.00161,0,1,13.7424,13.6709,11.4834,0.00858925,0.00858925,0.00858925,0.00429463,0.0171785
59,10975.5,1.53104,2.05694,0.02029,0.99917,12.9667,0.57101,0.46898,0.50589,0.32339,1.43648,1.68995,0.02358,0,0,12.9667,0,12.9667,0,0.0675951,0.186383,3.00161,3.00161,0,1,13.748,13.7065,11.4456,0.0085645,0.0085645,0.0085645,0.00428225,0.017129
60,11160.4,1.5259,2.04874,0.02013,0.99947,12.9331,0.57577,0.47065,0.50825,0.32504,1.43715,1.68472,0.02361,0,0,12.9331,0,12.9331,0,0.0674279,0.187031,3.00161,3.00161,0,1,13.7105,13.6418,11.4468,0.00853975,0.00853975,0.00853975,0.00426988,0.0170795
61,11344.4,1.52426,2.04408,0.02021,0.99938,12.902,0.56998,0.47644,0.50995,0.3269,1.43501,1.67989,0.02358,0,0,12.902,0,12.902,0,0.0672692,0.186649,3.00161,3.00161,0,1,13.6943,13.6255,11.3862,0.008515,0.008515,0.008515,0.0042575,0.01703
