dominant_expert_agreement,jensen_shannon_divergence,layer_index,layer_name,normalized_route_entropy_a,normalized_route_entropy_b,route_entropy_a,route_entropy_b,seed_a,seed_b,token_top1_agreement
0,1.3092271615522272e-08,5,model.23.m.1,0.9999999610781806,0.9999999996105093,1.0986122459081207,1.0986122882402105,0,1,0.0
1,6.1168658108159664e-06,0,model.14.m.0,0.9999539480674473,0.9999918377663236,1.0985616954490904,1.0986033215378899,0,1,0.395625
0,4.925057186244168e-06,1,model.14.m.1,0.9999885064056562,0.9999988111944631,1.0985996616641227,1.098610982631738,0,1,0.2975
0,0.0007117953079729842,2,model.20.m.0,0.9999751054675657,0.9981365140868711,1.098584939228857,1.0965650401441864,0,1,0.716875
1,1.753501976884791e-07,3,model.20.m.1,0.9999995937503121,0.9999998149938257,1.0986118423572104,1.0986120854180532,0,1,0.293125
1,1.41492210892105e-10,4,model.23.m.0,0.9999999774351661,0.9999999764975246,1.098612263878106,1.0986122628480015,0,1,1.0
0,1.3144697657867371e-08,5,model.23.m.1,0.999999958377378,0.9999999969508643,1.0986122429409857,1.0986122853182918,0,1,0.0
1,3.71958825924998e-05,0,model.14.m.0,0.999757004234629,0.9999628213363704,1.0983453305341788,1.09857144373137,0,1,0.39
1,3.540030655573088e-06,1,model.14.m.1,0.9999881196662201,0.9999997648413048,1.0985992367874258,1.0986120303198774,0,1,0.275625
1,0.0004227968938909439,2,model.20.m.0,0.9999674838757053,0.998579232485511,1.0985765660543798,1.0970514160173517,0,1,0.741875
1,1.2409162373752853e-07,3,model.20.m.1,0.9999995929612283,0.9999997450326699,1.0986118414903132,1.0986120085578677,0,1,0.289375
1,1.3939385901154988e-10,4,model.23.m.0,0.9999999742927591,0.9999999738827109,1.098612260425819,1.098612259975335,0,1,1.0
0,1.2932664527066489e-08,5,model.23.m.1,0.999999963685879,0.9999999968790757,1.0986122487729701,1.098612285239424,0,1,0.0
1,3.441318130313674e-05,0,model.14.m.0,0.9998177681222369,0.9999529374612512,1.0984120864878122,1.0985605851847045,0,1,0.415625
1,2.6666088882363443e-06,1,model.14.m.1,0.9999896841017236,0.9999996095897365,1.0986009554954947,1.0986118597585968,0,1,0.301875
1,0.00045459330794788214,2,model.20.m.0,0.999971700052471,0.9986006957911737,1.0985811979979858,1.0970749958687083,0,1,0.685625
1,1.9709016473517344e-07,3,model.20.m.1,0.9999995093081844,0.9999997766738526,1.0986117495880512,1.0986120433192599,0,1,0.251875
1,1.3251550079966e-10,4,model.23.m.0,0.9999999772042251,0.9999999818744041,1.0986122636243913,1.0986122687551074,0,1,1.0
0,1.2885257712815182e-08,5,model.23.m.1,0.999999961096537,0.9999999995427442,1.0986122459282872,1.098612288165763,0,1,0.0
1,4.430582908126422e-05,0,model.14.m.0,0.9997443608986873,0.9999638998789977,1.0983314404099436,1.0985726286315542,0,1,0.445
0,5.415339843749375e-06,1,model.14.m.1,0.9999855949953688,0.9999999087678729,1.0985964631530036,1.0986121884393738,0,1,0.295625
1,0.00039663534004609176,2,model.20.m.0,0.9999574585159053,0.9985762940414992,1.0985655520709052,1.0970481878066507,0,1,0.64875
1,1.7533947961147266e-07,3,model.20.m.1,0.9999994134519598,0.9999997556737753,1.0986116442792249,1.098612020248317,0,1,0.289375
1,1.4078192677964414e-10,4,model.23.m.0,0.9999999742790278,0.9999999738535909,1.0986122604107336,1.0986122599433434,0,1,1.0
0,1.2947484786730341e-08,5,model.23.m.1,0.9999999664833237,1.0000000022506612,1.0986122518462773,1.098612291140714,0,1,0.0
1,1.950821620205488e-05,0,model.14.m.0,0.9998215233527052,0.9999530627127895,1.0984162120301515,1.0985607227875835,0,1,0.46
