epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
42,7849.26,1.58012,2.17161,0.02101,0.99878,14.821,0.54991,0.43793,0.46504,0.28781,1.49848,1.80439,0.0251,0,0,14.821,0,14.821,0,0.0693828,0.203438,3.34277,3.34277,0,1,0.00898525,0.00898525,0.00898525,0.00449263,0.0179705
43,8035.71,1.56219,2.15849,0.02093,0.99909,14.843,0.55541,0.43751,0.46857,0.29163,1.48836,1.79316,0.02488,0,0,14.843,0,14.843,0,0.0694833,0.205391,3.34277,3.34277,0,1,0.0089605,0.0089605,0.0089605,0.00448025,0.017921
44,8221.79,1.56132,2.14837,0.02092,0.99886,14.8082,0.55704,0.4458,0.47226,0.29517,1.48875,1.77551,0.02482,0,0,14.8082,0,14.8082,0,0.0693196,0.205676,3.34277,3.34277,0,1,0.00893575,0.00893575,0.00893575,0.00446788,0.0178715
45,8405.58,1.5579,2.14307,0.02081,0.99875,14.7778,0.57042,0.44559,0.48086,0.30005,1.48555,1.76352,0.02472,0,0,14.7778,0,14.7778,0,0.0691789,0.205895,3.34277,3.34277,0,1,0.008911,0.008911,0.008911,0.0044555,0.017822
46,8590.15,1.54864,2.13161,0.02077,0.9991,14.7419,0.56198,0.45012,0.48359,0.30211,1.48079,1.75048,0.02461,0,0,14.7419,0,14.7419,0,0.0690117,0.206247,3.34277,3.34277,0,1,0.00888625,0.00888625,0.00888625,0.00444313,0.0177725
47,8774.32,1.55693,2.1201,0.02072,0.99911,14.7311,0.5713,0.46218,0.4895,0.30571,1.48016,1.74281,0.02458,0,0,14.7311,0,14.7311,0,0.0689621,0.206844,3.34277,3.34277,0,1,0.0088615,0.0088615,0.0088615,0.00443075,0.017723
48,8957.9,1.55243,2.12161,0.02062,0.99917,14.6856,0.57087,0.46884,0.49363,0.30897,1.47738,1.73452,0.02455,0,0,14.6856,0,14.6856,0,0.0687475,0.206455,3.34277,3.34277,0,1,0.00883675,0.00883675,0.00883675,0.00441838,0.0176735
49,9141.95,1.55148,2.10656,0.02063,0.99916,14.6885,0.59469,0.45978,0.49856,0.31199,1.4729,1.72485,0.02444,0,0,14.6885,0,14.6885,0,0.0687618,0.207437,3.34277,3.34277,0,1,0.008812,0.008812,0.008812,0.004406,0.017624
50,9325.04,1.54858,2.08812,0.02054,0.99913,14.6399,0.60215,0.45495,0.49914,0.31266,1.46722,1.72337,0.02434,0,0,14.6399,0,14.6399,0,0.0685338,0.207749,3.34277,3.34277,0,1,0.00878725,0.00878725,0.00878725,0.00439362,0.0175745
51,9510.6,1.54631,2.08611,0.02056,0.99913,14.5999,0.60846,0.45686,0.5028,0.31624,1.46681,1.71527,0.02431,0,0,14.5999,0,14.5999,0,0.0683468,0.207143,3.34277,3.34277,0,1,0.0087625,0.0087625,0.0087625,0.00438125,0.017525
