analysis_unit,bootstrap_ci95_high,bootstrap_ci95_low,ci_excludes_zero,comparison,expert,fdr_q_value,layer,mean_diff_high_minus_low,mean_high,mean_low,metric,n_pairs,n_sequences,paired_hedges_g,permutation_p_value_two_sided,significant_after_fdr
video_sequence,0.00016706749097850678,-0.0005720345413613765,False,occlusion_0_to_1+,WindowTransformer,0.3887222555488902,model.20.m.1,-0.00023255505310031122,0.3312509737769563,0.3314835288300566,inside_probability,12296,76,-0.1387249522485109,0.23035392921415718,False
video_sequence,0.009917069225942364,-0.03771044190124998,False,occlusion_0_to_1+,WindowTransformer,0.3887222555488902,model.20.m.1,-0.01512088674898954,0.24180798033031067,0.2569288670793002,inside_top1_share,12296,76,-0.14058111616001112,0.22375524895020996,False
video_sequence,0.00042919277351703656,-0.0004118857096897504,False,occlusion_0_to_1+,WindowTransformer,1.0,model.20.m.1,5.4695430849654e-06,-0.0007605703654379473,-0.0007660399085229128,inside_minus_ring_probability,12296,76,0.002878177288715889,0.9840031993601279,False
video_sequence,-1.8967184627912044e-06,-3.129607091240799e-06,True,occlusion_0_to_1+,DeformableTransformer,0.0009816218574466924,model.23.m.0,-2.504220685844263e-06,0.3333456438329038,0.3333481480535897,inside_probability,12296,76,-0.8886943781875442,0.0001999600079984003,True
video_sequence,0.0,0.0,False,occlusion_0_to_1+,DeformableTransformer,1.0,model.23.m.0,0.0,0.0,0.0,inside_top1_share,12296,76,0.0,1.0,False
video_sequence,-5.801219039123232e-07,-1.5361252706718373e-06,True,occlusion_0_to_1+,DeformableTransformer,0.0009816218574466924,model.23.m.0,-1.0534930944800088e-06,-1.1158312706131389e-06,-6.233817613313038e-08,inside_minus_ring_probability,12296,76,-0.4867261287818061,0.0001999600079984003,True
video_sequence,6.404972954530359e-06,3.871054645500396e-06,True,occlusion_0_to_1+,LocalConvTransformer,0.0009816218574466924,model.23.m.0,5.089438145026627e-06,0.3332386592485697,0.33323356981042473,inside_probability,12296,76,0.8826519128444034,0.0001999600079984003,True
video_sequence,0.0,0.0,False,occlusion_0_to_1+,LocalConvTransformer,1.0,model.23.m.0,0.0,0.0,0.0,inside_top1_share,12296,76,0.0,1.0,False
video_sequence,3.050928637742133e-06,1.1847186680567317e-06,True,occlusion_0_to_1+,LocalConvTransformer,0.0009816218574466924,model.23.m.0,2.1331754694261215e-06,2.3479721072043704e-06,2.1479663777824852e-07,inside_minus_ring_probability,12296,76,0.4881211767629298,0.0001999600079984003,True
video_sequence,-1.9665691875974675e-06,-3.2621187332981037e-06,True,occlusion_0_to_1+,WindowTransformer,0.0009816218574466924,model.23.m.0,-2.585417969756152e-06,0.3334156943359286,0.3334182797538984,inside_probability,12296,76,-0.8734822176452013,0.0001999600079984003,True
video_sequence,0.0,0.0,False,occlusion_0_to_1+,WindowTransformer,1.0,model.23.m.0,0.0,1.0,1.0,inside_top1_share,12296,76,0.0,1.0,False
video_sequence,-5.873082047176772e-07,-1.5753282202820824e-06,True,occlusion_0_to_1+,WindowTransformer,0.0016612062202944027,model.23.m.0,-1.080262266371227e-06,-1.2323728758794155e-06,-1.521106095081883e-07,inside_minus_ring_probability,12296,76,-0.48745298599338965,0.0003999200159968006,True
video_sequence,8.900568147286438e-08,-1.3259459978748188e-07,False,occlusion_0_to_1+,DeformableTransformer,0.9941725940526182,model.23.m.1,-1.627954736659273e-08,0.3333252261634437,0.33332524244299105,inside_probability,12296,76,-0.03276365481935196,0.7732453509298141,False
video_sequence,0.0,0.0,False,occlusion_0_to_1+,DeformableTransformer,1.0,model.23.m.1,0.0,0.0,0.0,inside_top1_share,12296,76,0.0,1.0,False
video_sequence,4.865993264337865e-08,-1.1741279651728827e-07,False,occlusion_0_to_1+,DeformableTransformer,0.735105610456856,model.23.m.1,-2.942413935747717e-08,-3.128490892810789e-08,-1.8607695706307162e-09,inside_minus_ring_probability,12296,76,-0.07744399302333864,0.5172965406918616,False
