layer,op,tensor,amax,p999,outlier_ratio,channel_range_ratio,hostility
/model.15/m.0/cv3/conv/Conv,Conv,/model.15/m.0/cv3/conv/Conv_output_0,8.7797,4.1158,2.133,4.1,3.6081
/model.15/m.0/m/m.0/cv1/conv/Conv,Conv,/model.15/m.0/m/m.0/cv1/conv/Conv_output_0,8.4941,3.9443,2.154,4.0,3.5997
/model.25/cv2.1/cv2.1.2/Conv,Conv,/model.25/cv2.1/cv2.1.2/Conv_output_0,13.8136,8.7069,1.587,7.8,3.5822
/model.8/m.1/m.1.1/mlp/mlp.0/conv/Conv,Conv,/model.8/m.1/m.1.1/mlp/mlp.0/conv/Conv_output_0,9.696,4.87,1.991,4.6,3.5511
/model.5/m.0/Add,Add,/model.5/m.0/Add_output_0,5.7252,3.4414,1.664,6.7,3.496
/model.18/m.0/m/m.0/cv1/conv/Conv,Conv,/model.18/m.0/m/m.0/cv1/conv/Conv_output_0,5.9829,2.6086,2.293,3.2,3.3809
/model.12/experts.0/conv/conv.3/Conv,Conv,/model.12/experts.0/conv/conv.3/Conv_output_0,6.4203,4.3788,1.466,8.0,3.3238
/model.3/m.0/cv2/act/Mul,Mul,/model.3/m.0/cv2/act/Mul_output_0,8.8883,4.1187,2.158,3.0,3.1109
/model.8/m.0/m.0.0/attn/MatMul_1,MatMul,/model.8/m.0/m.0.0/attn/MatMul_1_output_0,7.3588,3.4114,2.157,3.0,3.0978
/model.5/m.0/cv2/conv/Conv,Conv,/model.5/m.0/cv2/conv/Conv_output_0,7.0092,3.246,2.159,2.8,2.9713
/model.12/experts.1/conv/conv.3/Conv,Conv,/model.12/experts.1/conv/conv.3/Conv_output_0,7.9013,5.7562,1.373,6.9,2.9521
/model.12/Mul_1,Mul,/model.12/Mul_1_output_0,5.6974,4.2001,1.357,6.9,2.9045
/model.12/Add,Add,/model.12/Add_output_0,5.6974,4.2001,1.357,6.9,2.9045
/model.12/Add_1,Add,/model.12/Add_1_output_0,6.6509,4.6311,1.436,5.8,2.8497
/model.3/m.0/cv2/conv/Conv,Conv,/model.3/m.0/cv2/conv/Conv_output_0,9.3773,4.3623,2.15,2.5,2.8262
/model.18/m.0/cv1/act/Mul,Mul,/model.18/m.0/cv1/act/Mul_output_0,1.253,0.8114,1.544,4.6,2.7132
/model.8/m.0/m.0.0/attn/MatMul,MatMul,/model.8/m.0/m.0.0/attn/MatMul_output_0,56.0571,24.3827,2.299,2.0,2.7084
/model.3/m.0/Add,Add,/model.3/m.0/Add_output_0,9.2087,4.6957,1.961,2.7,2.7054
/model.5/m.0/cv1/conv/Conv,Conv,/model.5/m.0/cv1/conv/Conv_output_0,5.416,2.8021,1.933,2.8,2.6787
/model.25/cv3.0/cv3.0.2/Conv,Conv,/model.25/cv3.0/cv3.0.2/Conv_output_0,39.148,18.5989,2.105,2.3,2.674
/model.8/m.0/m.0.0/attn/Mul,Mul,/model.8/m.0/m.0.0/attn/Mul_output_0,9.9096,4.3103,2.299,2.0,2.6257
/model.3/m.0/cv1/act/Mul,Mul,/model.3/m.0/cv1/act/Mul_output_0,5.5469,3.2994,1.681,3.3,2.5417
/model.3/m.0/cv1/conv/Conv,Conv,/model.3/m.0/cv1/conv/Conv_output_0,7.1133,3.7401,1.902,2.4,2.4287
/model.25/cv3.1/cv3.1.2/Conv,Conv,/model.25/cv3.1/cv3.1.2/Conv_output_0,36.2603,19.5275,1.857,2.2,2.3456
